jogo_id,data,competicao,fase_rodada,mandante,visitante,gols_mandante,gols_visitante,gols_flamengo,gols_adversario,resultado,condicao,estadio,cidade,no_maracana,grupo_local,publico,placar_fonte
24,2025-04-22,CONMEBOL Libertadores,3,LDU Quito,Flamengo,0,0,0,0,Empate,Visitante,Casa Blanca,"Quito, Ecuador",False,Outros estádios,17883.0,0–0
25,2025-04-27,Campeonato Brasileiro Série A,6,Flamengo,Corinthians,4,0,4,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,67501.0,4–0
26,2025-05-01,Copa do Brasil,1st leg,Botafogo-PB,Flamengo,0,1,1,0,Vitória,Visitante,Castelão,São Luís,False,Outros estádios,35381.0,0–1
27,2025-05-04,Campeonato Brasileiro Série A,7,Cruzeiro,Flamengo,2,1,1,2,Derrota,Visitante,Mineirão,Belo Horizonte,False,Outros estádios,52752.0,2–1
28,2025-05-07,CONMEBOL Libertadores,4,Central Córdoba,Flamengo,1,1,1,1,Empate,Visitante,Único Madre de Ciudades,"Santiago del Estero, Argentina",False,Outros estádios,19969.0,1–1
29,2025-05-10,Campeonato Brasileiro Série A,8,Flamengo,Bahia,1,0,1,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,62204.0,1–0
30,2025-05-15,CONMEBOL Libertadores,5,Flamengo,LDU Quito,2,0,2,0,Vitória,Mandante,Maracanã,"Rio de Janeiro, Brazil",True,Maracanã,65831.0,2–0
31,2025-05-18,Campeonato Brasileiro Série A,9 Clássico da Rivalidade,Flamengo,Botafogo,0,0,0,0,Empate,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,54238.0,0–0
32,2025-05-21,Copa do Brasil,2nd leg,Flamengo,Botafogo-PB,4,2,4,2,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,25814.0,4–2  (5–2 agg.)
33,2025-05-25,Campeonato Brasileiro Série A,10,Palmeiras,Flamengo,0,2,2,0,Vitória,Visitante,Allianz Parque,São Paulo,False,Outros estádios,41075.0,0–2
34,2025-05-28,CONMEBOL Libertadores,6,Flamengo,Deportivo Táchira,1,0,1,0,Vitória,Mandante,Maracanã,"Rio de Janeiro, Brazil",True,Maracanã,66082.0,1–0
35,2025-06-01,Campeonato Brasileiro Série A,11,Flamengo,Fortaleza,5,0,5,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,64900.0,5–0
36,2025-06-16,Copa do Mundo de Clubes da FIFA,1,Flamengo,Espérance de Tunis,2,0,2,0,Vitória,Neutro,Lincoln Financial Field,"Philadelphia, United States",False,Outros estádios,25797.0,2–0
37,2025-06-20,Copa do Mundo de Clubes da FIFA,2,Flamengo,Chelsea,3,1,3,1,Vitória,Neutro,Lincoln Financial Field,"Philadelphia, United States",False,Outros estádios,54619.0,3–1
38,2025-06-24,Copa do Mundo de Clubes da FIFA,3,Los Angeles FC,Flamengo,1,1,1,1,Empate,Neutro,Camping World Stadium,"Orlando, United States",False,Outros estádios,32933.0,1–1
39,2025-06-29,Copa do Mundo de Clubes da FIFA,Round of 16,Flamengo,Bayern Munich,2,4,2,4,Derrota,Neutro,Hard Rock Stadium,"Miami Gardens, United States",False,Outros estádios,60914.0,2–4
